Time,Source,Destination,Protocol,Length,ICMP Type,ICMP Code,Traffic Rate,Packet Interval
1740599757.113555,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.116149,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.117906,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.120311,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.121562,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.125212,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.125296,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.127611,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.12849,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.131344,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.132516,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.13535,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.136199,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.138905,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.140721,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.144836,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.145378,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.147553,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.148129,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.15085,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.152134,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.15484,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.156141,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.158789,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.160155,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.162777,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.164348,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.167782,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.168718,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.17215,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.174549,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
